Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2/16/22,Connecticut,1.5909,554631456.5,80000000,22555117.39,4181536.76,0,3,2022,2,2022,1,2,16
2/16/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,16
2/16/22,Illinois,1.5909,4512645003,147000000,0,34768650.91,0.55,5,2022,2,2022,1,2,16
2/16/22,Massachusetts,1.5909,2268015460,0,0,17666943.4,0,6,2022,2,2022,1,2,16
2/16/22,Minnesota,1.5909,1257431673,175000000,80517474.2,8783227.55,35056.4,7,2022,2,2022,1,2,16
2/16/22,New Jersey,1.5909,477817680.7,400000000,110119280,3912965.26,1.17,8,2022,2,2022,1,2,16
2/16/22,New York*,1.5909,9307912973,560000000,89104830.17,71860223.24,0,9,2022,2,2022,1,2,16
2/16/22,Pennsylvania,1.5909,705971586.3,100000000,69660774.4,6066997.41,0,10,2022,2,2022,1,2,16
2/16/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,16
2/16/22,Virgin Islands,1.5909,98745886.99,3000000,858841,746594.31,235.02,12,2022,2,2022,1,2,16
2/15/22,California,1.5909,19503664121,700000000,248316795.7,151460173.9,0,1,2022,2,2022,1,2,15
2/15/22,Colorado,1.5909,1013089861,100000000,0,7853534.42,0,2,2022,2,2022,1,2,15
2/15/22,Connecticut,1.5909,553145824.8,80000000,21069485.67,4157427.21,0,3,2022,2,2022,1,2,15
2/15/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,15
2/15/22,Illinois,1.5909,4512645003,147000000,0,34571961.39,0.55,5,2022,2,2022,1,2,15
2/15/22,Massachusetts,1.5909,2268015460,0,0,17568089,0,6,2022,2,2022,1,2,15
2/15/22,Minnesota,1.5909,1246684499,175000000,69520299.41,8728889.17,35056.4,7,2022,2,2022,1,2,15
2/15/22,New Jersey,1.5909,469826315.8,400000000,102097280,3892487.3,1.17,8,2022,2,2022,1,2,15
2/15/22,New York*,1.5909,9302836663,560000000,83987925.61,71454747.04,0,9,2022,2,2022,1,2,15
2/15/22,Pennsylvania,1.5909,702569528.6,100000000,65923816.75,6036375.03,0,10,2022,2,2022,1,2,15
